genus,family,order,group,accepted_bin,mono_fern
Abutilon,Malvaceae,Malvales,Angiosperms,Abutilon thyrsodendron,FALSE
Bastardiopsis,Malvaceae,Malvales,Angiosperms,Bastardiopsis turumiquirensis,FALSE
Bakeridesia,Malvaceae,Malvales,Angiosperms,Bakeridesia integerrima,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia hayesii,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia adunca,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia acradenia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia acrionastes,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia acuifera,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia acuminata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia adsurgens,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia aestivalis,FALSE
Faidherbia,Leguminosae,Fabales,Angiosperms,Faidherbia albida,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia alleniana,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia amblyophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia amentacea,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ammobia,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ammophila,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia amoena,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ampliata,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ampliceps,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia anastema,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia anaticeps,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia ancistrocarpa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia anegadensis,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia aneura,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia anfractuosa,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia angusta,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia angustissima,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia anisophylla,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia anthochaera,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia aprepta,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia paraneura,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia arafurica,FALSE
Acacia,Leguminosae,Fabales,Angiosperms,Acacia araneosa,FALSE
Racosperma,Leguminosae,Fabales,Angiosperms,Racosperma areolatum,FALSE
