accepted_bin,Bark thickness,Leaf K per mass,Leaf N per mass,Leaf P per mass,Leaf Vcmax per dry mass,Leaf area,Leaf density,Leaf thickness,Seed dry mass,Specific leaf area,Stem conduit diameter,Stomatal conductance,Wood density
Abies densa,2.0149030205422647,1.6575968960622436,2.5215783539317247,0.22775113247539297,-1.2696923470913304,6.708373944320258,-1.0443610569126833,-1.0071793936507727,2.5005775465483415,2.0678951452007124,2.91750640544907,4.962959711556533,-0.8546672946126105
Abies durangensis,2.0149030205422647,1.6575968960622436,2.5215783539317247,0.22775113247539297,-1.2696923470913304,6.708373944320258,-1.0443610569126833,-1.0071793936507727,2.5005775465483415,2.0678951452007124,2.91750640544907,4.962959711556533,-0.8546672946126105
Abies fabri,2.25731186211366,2.4341410364719294,3.0463207540209916,0.25581751295817745,-0.9531684444263976,8.662648618666164,-1.1828728193484424,-1.531712081139044,3.910397301588057,2.6432448197710765,3.3108761598254404,5.180294140184929,-0.9866783255340534
Abies fargesii,1.9028453187234349,2.2728729952395814,2.9520393135233594,-0.0085805511256277,-1.1932590778418706,8.716199395101295,-1.3419900508212446,-1.5118549488947328,3.7904682721379417,2.450928186332581,3.2965287540832326,5.18052245942582,-1.0168335601474523
Abies firma,1.9469581538156064,1.8345160864214163,2.3978952727983707,-0.3753394878118611,-1.6603166280661896,4.548453466345624,-0.8665176110206357,-1.1844545834177707,3.691541074870383,1.6953930837190991,3.030740353401218,4.6906781263221315,-0.5046272647530026
Abies forrestii,2.0149030205422647,2.044759852816191,2.948658536993339,0.23962434691788398,-1.0810686635018742,8.434105292660217,-1.277841814861584,-1.3934492219645482,3.1416957375924794,2.5085524278276408,3.216388657638818,5.407607315005581,-0.9081932210178112
Abies fraseri,2.0149030205422647,2.3497282368723442,2.8813692125987576,0.538835131600497,-1.4442286018108403,3.126841073506633,-0.4964232780041439,-0.5455949523934888,1.963646738823722,1.7327034213420556,2.8347213661684583,4.690167120238704,-0.5674318283313274
Abies grandis,2.0149030205422647,2.3052974012449763,2.397070982604624,0.3942286801821351,-1.4856031262667015,4.957443802953621,-1.0686878929050267,-0.7516846562635533,2.9268933711964977,2.0531014101831464,2.880564098966232,4.745716537148092,-0.8025317661781022
Abies guatemalensis,2.0149030205422647,2.048136685359486,2.8951248327256756,-0.010573878623591737,-1.351019840794158,8.928386465569417,-1.1367708837762338,-1.4897502211708649,3.688879454113936,2.5634841257354593,3.1177359239354154,5.10376088046638,-0.843970070294529
Abies holophylla,1.9362591131832538,2.233104563058339,3.0342382873183635,0.4667313343889721,-0.9897439444591806,8.7045037555592,-1.155797331683666,-1.4765721179475206,3.7095326392938532,2.8010920685926526,3.3787399184539977,5.11610334979522,-1.0589303007231898
Abies homolepis,2.0149030205422647,1.9714152349774945,2.7087923317604745,-0.007943749563280063,-0.9382575939487723,7.8986027267948025,-1.0560364463800018,-1.4910005204302197,2.838321312962109,2.2150124024948004,3.2324958282866274,5.28582475710544,-0.7064151116409142
Abies kawakamii,2.0149030205422647,1.6575968960622436,2.5215783539317247,0.22775113247539297,-1.2696923470913304,6.708373944320258,-1.0443610569126833,-1.0071793936507727,2.5005775465483415,2.0678951452007124,2.91750640544907,4.962959711556533,-0.8546672946126105
Abies koreana,2.148930969584866,2.4015533467120407,2.900604096984237,0.119974035743987,-1.009390290097948,7.000242900431638,-1.0564541809887846,-1.6459480237030488,2.302585092994046,2.3329247682584935,2.9051555688627295,4.965443448572239,-0.4971010946428317
